,country,wealthgini_2018,CountryCode,CountryName,2016,2017,2018,_merge,Nation,UrbanPopulation,UrbanizationRate,Official_Name
0,Albania,0.629,ALB,Albania,17.21,17.74,17.74,both,Albania,60.3,1.69,The Republic of Albania
1,Algeria,0.758,DZA,Algeria,7.5,7.5,7.5,both,Algeria,72.6,2.46,The People's Democratic Republic of Algeria
2,Antigua and Barbuda,0.838,ATG,Antigua and Barbuda,19.33,18.57,18.57,both,Antigua and Barbuda,24.6,0.55,Antigua and Barbuda
3,Argentina,0.792,ARG,Argentina,8.89,8.81,8.81,both,Argentina,91.9,1.07,The Argentine Republic
4,Armenia,0.645,ARM,Armenia,23.11,23.11,23.11,both,Armenia,63.1,0.22,The Republic of Armenia
5,Australia,0.658,AUS,Australia,16.98,19.27,19.27,both,Australia,86,1.43,The Commonwealth of Australia
6,Austria,0.764,AUT,Austria,28.44,28.4,28.4,both,Austria,58.3,0.59,The Republic of Austria
7,Azerbaijan,0.643,AZE,Azerbaijan,10.15,10.16,10.16,both,Azerbaijan,55.7,1.58,The Republic of Azerbaijan
8,Bangladesh,0.671,BGD,Bangladesh,4.61,4.61,4.61,both,Bangladesh,36.6,3.17,The People's Republic of Bangladesh
9,Barbados,0.788,BRB,Barbados,1.35,1.27,1.27,both,Barbados,31.1,0.2,Barbados
10,Belarus,0.614,BLR,Belarus,9.51,9.35,9.35,both,Belarus,78.6,0.44,The Republic of Belarus
11,Belgium,0.659,BEL,Belgium,23.21,23.29,23.29,both,Belgium,98,0.62,The Kingdom of Belgium
12,Belize,0.815,BLZ,Belize,37.68,37.68,37.68,both,Belize,45.7,2.32,Belize
13,Benin,0.689,BEN,Benin,28.87,29.62,29.62,both,Benin,47.3,3.89,The Republic of Benin
14,Bolivia,0.779,BOL,Bolivia,30.87,30.87,30.87,both,Bolivia,69.4,1.97,The Plurinational State of Bolivia
15,Botswana,0.783,BWA,Botswana,29.14,29.14,29.14,both,Botswana,69.4,2.87,The Republic of Botswana
16,Brazil,0.823,BRA,Brazil,28.94,29.42,29.42,both,Brazil,86.6,1.05,The Federative Republic of Brazil
17,Bulgaria,0.647,BGR,Bulgaria,34.69,34.7,34.7,both,Bulgaria,75,-0.22,The Republic of Bulgaria
18,Burkina Faso,0.674,BFA,Burkina Faso,15.08,14.92,14.92,both,Burkina Faso,29.4,4.99,Burkina Faso
19,Burundi,0.654,BDI,Burundi,7.59,7.59,7.59,both,Burundi,13,5.68,The Republic of Burundi
20,Cambodia,0.704,KHM,Cambodia,26.03,26.03,26.03,both,Cambodia,23.4,3.25,The Kingdom of Cambodia
21,Cameroon,0.725,CMR,Cameroon,10.6,10.6,10.6,both,Cameroon,56.4,3.63,The Republic of Cameroon
22,Canada,0.726,CAN,Canada,9.69,9.69,9.69,both,Canada,81.4,0.97,Canada
23,Central African Republic,0.768,CAF,Central African Republic,18.06,18.06,18.06,both,Central African Republic,41.4,2.52,The Central African Republic
24,Chad,0.715,TCD,Chad,20.35,20.35,20.35,both,Chad,23.1,3.88,The Republic of Chad
25,Chile,0.773,CHL,Chile,18.4,18.49,18.49,both,Chile,87.6,0.87,The Republic of Chile
26,China,0.714,CHN,China,17.08,15.45,15.45,both,China,60,2.5,The People's Republic of China
27,Colombia,0.807,COL,Colombia,14.16,14.81,14.81,both,Colombia,80.8,1.22,The Republic of Colombia
28,Comoros,0.766,COM,Comoros,10.17,10.15,10.15,both,,,,
29,Costa Rica,0.769,CRI,Costa Rica,27.6,27.6,27.6,both,Costa Rica,79.3,1.5,The Republic of Costa Rica
30,Croatia,0.631,HRV,Croatia,38.11,38.25,38.25,both,Croatia,56.9,-0.08,The Republic of Croatia
31,Czech Republic,0.758,CZE,Czech Republic,21.69,22.16,22.16,both,Czech Republic,73.8,0.21,The Czech Republic
32,Denmark,0.835,DNK,Denmark,17.56,18.1,18.1,both,Denmark,87.9,0.51,The Kingdom of Denmark
33,Dominica,0.84,DMA,Dominica,22.06,21.99,21.99,both,Dominica,70.5,0.94,The Commonwealth of Dominica
34,Ecuador,0.776,ECU,Ecuador,20.03,21.69,21.69,both,Ecuador,63.8,1.66,The Republic of Ecuador
35,Egypt,0.909,EGY,"Egypt, Arab Rep.",13.14,13.14,13.14,both,Egypt,42.7,1.86,The Arab Republic of Egypt
36,El Salvador,0.759,SLV,El Salvador,8.78,8.78,8.78,both,El Salvador,72,1.57,The Republic of El Salvador
37,Equatorial Guinea,0.781,GNQ,Equatorial Guinea,19.27,19.27,19.27,both,Equatorial Guinea,72.1,4.28,The Republic of Equatorial Guinea
38,Estonia,0.715,EST,Estonia,20.18,20.22,20.22,both,Estonia,68.9,0.01,The Republic of Estonia
39,Ethiopia,0.612,ETH,Ethiopia,18.47,18.47,18.47,both,Ethiopia,20.8,4.63,The Federal Democratic Republic of Ethiopia
40,Fiji,0.694,FJI,Fiji,5.4,5.41,5.41,both,Fiji,56.2,1.62,The Republic of Fiji
41,Finland,0.767,FIN,Finland,14.94,15.02,15.02,both,Finland,85.4,0.42,The Republic of Finland
42,France,0.687,FRA,France,26.03,25.79,25.79,both,France,80.4,0.72,The French Republic
43,Gabon,0.7,GAB,Gabon,20.14,22.44,22.44,both,Gabon,89.4,2.61,The Gabonese Republic
44,Gambia,0.755,GMB,"Gambia, The",4.11,4.11,4.11,both,Gambia,61.3,4.07,The Republic of The Gambia
45,Georgia,0.678,GEO,Georgia,8.33,8.33,8.33,both,Georgia,58.6,0.42,Georgia
46,Germany,0.816,DEU,Germany,37.68,37.75,37.75,both,Germany,77.3,0.27,The Federal Republic of Germany
47,Ghana,0.682,GHA,Ghana,15.06,15.06,15.06,both,Ghana,56.1,3.34,The Republic of Ghana
48,Greece,0.682,GRC,Greece,34.96,35.22,35.22,both,Greece,79.1,0.22,The Hellenic Republic
49,Grenada,0.842,GRD,Grenada,9.37,9.78,9.78,both,Grenada,36.3,0.76,Grenada
50,Guinea,0.716,GIN,Guinea,30.68,35.65,35.65,both,Guinea,36.1,3.54,The Republic of Guinea
51,Guinea-Bissau,0.697,GNB,Guinea-Bissau,16.66,16.66,16.66,both,Guinea-Bissau,43.4,3.41,The Republic of Guinea-Bissau
52,Guyana,0.75,GUY,Guyana,8.74,8.74,8.74,both,Guyana,26.6,0.83,The Co-operative Republic of Guyana
53,Haiti,0.82,HTI,Haiti,0.27,1.95,1.95,both,Haiti,55.3,2.9,The Republic of Haiti
54,Honduras,0.804,HND,Honduras,28.44,23.89,23.89,both,Honduras,57.1,2.75,The Republic of Honduras
55,Hungary,0.662,HUN,Hungary,22.6,22.6,22.6,both,Hungary,71.4,0.07,Hungary
56,Iceland,0.731,ISL,Iceland,17.44,18.15,18.15,both,Iceland,93.8,0.81,Iceland
57,India,0.854,IND,India,5.97,5.97,5.97,both,India,34,2.37,The Republic of India
58,Indonesia,0.84,IDN,Indonesia,11.87,12.17,12.17,both,Indonesia,56,2.27,The Republic of Indonesia
59,Iran,0.705,IRN,"Iran, Islamic Rep.",8.61,8.61,8.61,both,Iran,74.9,1.71,The Islamic Republic of Iran
60,Ireland,0.83,IRL,Ireland,14.44,14.44,14.44,both,Ireland,63.2,1.14,Ireland
61,Israel,0.766,ISR,Israel,19.94,19.95,19.95,both,Israel,92.4,1.64,The State of Israel
62,Italy,0.689,ITA,Italy,21.51,21.54,21.54,both,Italy,70.4,0.29,The Italian Republic
63,Jamaica,0.788,JAM,Jamaica,15.91,15.92,15.92,both,Jamaica,55.7,0.82,Jamaica
64,Japan,0.631,JPN,Japan,19.36,29.39,29.39,both,Japan,91.6,-0.14,Japan
65,Jordan,0.677,JOR,Jordan,1.73,1.77,1.77,both,Jordan,91,2.43,The Hashemite Kingdom of Jordan
66,Kazakhstan,0.952,KAZ,Kazakhstan,3.28,3.31,3.31,both,Kazakhstan,57.4,1.29,The Republic of Kazakhstan
67,Kenya,0.732,KEN,Kenya,12.36,12.36,12.36,both,Kenya,27,4.23,The Republic of Kenya
68,Kyrgyzstan,0.673,KGZ,Kyrgyz Republic,6.51,6.7,6.7,both,Kyrgyzstan,36.4,2.03,The Kyrgyz Republic
69,Latvia,0.788,LVA,Latvia,18.17,18.17,18.17,both,Latvia,68.1,-0.93,The Republic of Latvia
70,Lebanon,0.889,LBN,Lebanon,2.59,2.6,2.6,both,Lebanon,88.6,0.75,The Lebanese Republic
71,Lesotho,0.795,LSO,Lesotho,0.26,0.26,0.26,both,Lesotho,28.2,2.83,The Kingdom of Lesotho
72,Lithuania,0.655,LTU,Lithuania,16.94,17.02,17.02,both,Lithuania,67.7,-0.31,The Republic of Lithuania
73,Luxembourg,0.663,LUX,Luxembourg,32.27,40.87,40.87,both,Luxembourg,91,1.55,The Grand Duchy of Luxembourg
74,Madagascar,0.702,MDG,Madagascar,5.25,5.59,5.59,both,Madagascar,37.2,4.48,The Republic of Madagascar
75,Malawi,0.733,MWI,Malawi,16.89,22.88,22.88,both,Malawi,16.9,4.19,The Republic of Malawi
76,Malaysia,0.82,MYS,Malaysia,19.14,19.12,19.12,both,Malaysia,76.6,2.13,Malaysia
77,Mali,0.682,MLI,Mali,8.23,8.23,8.23,both,Mali,42.4,4.86,The Republic of Mali
78,Malta,0.631,MLT,Malta,23.69,30.29,30.29,both,Malta,94.6,0.38,The Republic of Malta
79,Mauritania,0.667,MRT,Mauritania,0.62,0.62,0.62,both,Mauritania,53.7,4.28,The Islamic Republic of Mauritania
80,Mauritius,0.64,MUS,Mauritius,4.75,4.73,4.73,both,Mauritius,40.8,0.11,The Republic of Mauritius
81,Mexico,0.8,MEX,Mexico,14.27,14.5,14.5,both,Mexico,80.2,1.59,The United Mexican States
82,Morocco,0.802,MAR,Morocco,30.81,30.78,30.78,both,Morocco,62.5,2.14,The Kingdom of Morocco
83,Mozambique,0.7,MOZ,Mozambique,21.59,21.59,21.59,both,Mozambique,36,4.35,The Republic of Mozambique
84,Namibia,0.776,NAM,Namibia,37.89,37.89,37.89,both,Namibia,50,4.2,The Republic of Namibia
85,Netherlands,0.736,NLD,Netherlands,11.33,11.24,11.24,both,Netherlands,91.5,0.74,The Kingdom of the Netherlands
86,New Zealand,0.708,NZL,New Zealand,32.55,32.55,32.55,both,New Zealand,86.5,1.01,New Zealand
87,Nicaragua,0.778,NIC,Nicaragua,37.23,37.23,37.23,both,Nicaragua,58.5,1.45,The Republic of Nicaragua
88,Niger,0.66,NER,Niger,17.32,17.32,17.32,both,,,,
89,Nigeria,0.894,NGA,Nigeria,13.93,13.93,13.93,both,Nigeria,50.3,4.23,The Federal Republic of Nigeria
90,North Macedonia,0.655,MKD,North Macedonia,9.65,9.65,9.65,both,,,,
91,Norway,0.791,NOR,Norway,16.97,17.11,17.11,both,Norway,82.2,1.4,The Kingdom of Norway
92,Pakistan,0.65,PAK,Pakistan,12.31,12.31,12.31,both,Pakistan,36.7,2.53,The Islamic Republic of Pakistan
93,Panama,0.795,PAN,Panama,20.89,20.89,20.89,both,Panama,67.7,2.06,The Republic of Panamá
94,Papua New Guinea,0.76,PNG,Papua New Guinea,3.07,3.07,3.07,both,Papua New Guinea,13.2,2.51,The Independent State of Papua New Guinea
95,Paraguay,0.785,PRY,Paraguay,6.51,14.31,14.31,both,Paraguay,61.6,1.71,The Republic of Paraguay
96,Peru,0.795,PER,Peru,21.27,21.31,21.31,both,Peru,77.9,1.44,The Republic of Perú
97,Philippines,0.826,PHL,Philippines,15.32,15.32,15.32,both,,,,
98,Poland,0.722,POL,Poland,39.62,39.65,39.65,both,Poland,60.1,-0.25,The Republic of Poland
99,Portugal,0.736,PRT,Portugal,22.96,22.9,22.9,both,Portugal,65.2,0.47,The Portuguese Republic
100,Romania,0.728,ROU,Romania,24.35,24.46,24.46,both,Romania,54,-0.38,Romania
101,Russia,0.875,RUS,Russian Federation,9.72,9.73,9.73,both,Russia,74.4,0.18,The Russian Federation
102,Rwanda,0.728,RWA,Rwanda,9.12,9.11,9.11,both,Rwanda,17.2,2.86,The Republic of Rwanda
103,Saudi Arabia,0.81,SAU,Saudi Arabia,4.33,4.76,4.76,both,Saudi Arabia,83.8,2.17,The Kingdom of Saudi Arabia
104,Senegal,0.705,SEN,Senegal,25.21,25.35,25.35,both,Senegal,47.2,3.73,The Republic of Senegal
105,Seychelles,0.679,SYC,Seychelles,42.1,42.09,42.09,both,Seychelles,56.7,1.26,The Republic of Seychelles
106,Sierra Leone,0.671,SLE,Sierra Leone,9.39,9.39,9.39,both,Sierra Leone,42.1,3.12,The Republic of Sierra Leone
107,Singapore,0.758,SGP,Singapore,5.62,5.55,5.55,both,Singapore,100,1.39,The Republic of Singapore
108,Slovakia,0.498,SVK,Slovak Republic,37.28,37.63,37.63,both,Slovakia,53.7,0,The Slovak Republic
109,Slovenia,0.646,SVN,Slovenia,53.64,53.62,53.62,both,Slovenia,54.5,0.56,The Republic of Slovenia
110,South Africa,0.806,ZAF,South Africa,14.13,8,8,both,South Africa,66.4,1.97,The Republic of South Africa
111,South Korea,0.67,KOR,"Korea, Rep.",11.23,11.67,11.67,both,South Korea,81.5,0.3,The Republic of Korea
112,Spain,0.697,ESP,Spain,28.02,28.07,28.07,both,Spain,80.3,0.33,The Kingdom of Spain
113,Sri Lanka,0.687,LKA,Sri Lanka,29.86,29.86,29.86,both,Sri Lanka,18.5,0.85,The Democratic Socialist Republic of Sri Lanka
114,Sweden,0.865,SWE,Sweden,14.47,14.88,14.88,both,Sweden,87.4,1.05,The Kingdom of Sweden
115,Tanzania,0.65,TZA,Tanzania,38.12,38.15,38.15,both,,,,
116,Thailand,0.902,THA,Thailand,18.81,18.81,18.81,both,Thailand,49.9,1.73,The Kingdom of Thailand
117,Togo,0.719,TGO,Togo,27.62,27.62,27.62,both,Togo,41.7,3.76,The Togolese Republic
118,Trinidad and Tobago,0.748,TTO,Trinidad and Tobago,30.6,30.59,30.59,both,Trinidad and Tobago,53.2,0.22,The Republic of Trinidad and Tobago
119,Tunisia,0.683,TUN,Tunisia,7.91,7.91,7.91,both,Tunisia,68.9,1.53,The Republic of Tunisia
120,Turkey,0.871,TUR,Turkey,0.22,0.22,0.22,both,Turkey,75.6,2.04,The Republic of Turkey
121,Uganda,0.714,UGA,Uganda,16.06,16.06,16.06,both,Uganda,23.8,5.7,The Republic of Uganda
122,Ukraine,0.955,UKR,Ukraine,3.96,3.99,3.99,both,Ukraine,69.4,-0.33,Ukraine
123,United Kingdom,0.747,GBR,United Kingdom,28.24,28.68,28.68,both,United Kingdom,83.4,0.89,The United Kingdom of Great Britain and Northern Ireland
124,United States,0.852,USA,United States,12.97,12.99,12.99,both,United States,82.3,0.95,The United States of America
125,Uruguay,0.741,URY,Uruguay,3.5,3.45,3.45,both,Uruguay,95.3,0.46,The Oriental Republic of Uruguay
126,Vietnam,0.708,VNM,Vietnam,7.58,7.58,7.58,both,Vietnam,35.9,2.98,The Socialist Republic of Viet Nam
127,Yemen,0.801,YEM,"Yemen, Rep.",0.77,0.77,0.77,both,Yemen,36.6,4.06,The Republic of Yemen
128,Zambia,0.787,ZMB,Zambia,38.05,37.87,37.87,both,Zambia,43.5,4.23,The Republic of Zambia
129,Zimbabwe,0.707,ZWE,Zimbabwe,27.21,27.21,27.21,both,Zimbabwe,32.2,2.19,The Republic of Zimbabwe
